omega1,omega2,time
0.0010292381,-0.0005522575,307
0.00031783432,-0.00037307478,308
0.00050199777,-0.0010010544,309
0.002071023,-0.00094455853,310
0.0023937374,0.00039547868,311
0.0012732148,0.00018343702,312
0.0013449863,-0.00021429174,313
0.0023473874,0.00076550804,314
0.0015877113,0.0018732026,315
0.00064489245,0.0016608164,316
0.0015212446,0.00037726387,317
0.0007798448,-0.00073327683,318
0.0005012229,0.000583848,319
0.0005240962,0.001763247,320
-0.00057763606,0.0013652816,321
-0.00022865087,0.0012826528,322
-0.00088116527,-0.00031606294,323
-0.0028449968,-0.0006323103,324
-0.0026065484,-0.0009065252,325
-0.00023804605,-0.002290571,326
0.0004974231,-0.0027996842,327
0.00041986257,-0.001131773,328
0.00080714375,-0.0007003434,329
0.0008081943,-0.00070785545,330
0.00055294484,-0.0010952465,331
0.0016653389,-0.0011959262,332
0.0026432723,-0.000103544444,333
0.0019849166,0.00075621903,334
0.0012852103,-0.00020355731,335
0.0019439906,0.00045487285,336
0.001943253,0.0015534572,337
0.0009477362,0.0018614847,338
0.0012591854,0.00078382343,339
0.0019401982,-0.0008464828,340
0.0003649518,0.00016271695,341
0.00047520548,0.0016199257,342
-0.0004986301,0.0014304444,343
-0.00040187687,0.0013878942,344
-0.0003983453,-0.00021248125,345
-0.0025662705,-0.0007548388,346
-0.0026551262,-0.0009365529,347
-0.0011936277,-0.0017472003,348
0.0007461235,-0.0030453634,349
0.0003421232,-0.0010443535,350
0.00065333396,-0.0012001209,351
0.0011360273,-0.0008539986,352
0.0004464686,-0.0011568442,353
0.0010848194,-0.001332853,354
0.0026921928,-0.00050270185,355
0.0020541921,0.0013450049,356
0.0012268871,-0.000118713826,357
0.0016675517,0.00011711195,358
0.0022601262,0.0011655204,359
0.0012247637,0.0020719077,360
0.0009652898,0.0011654627,361
0.0029148087,-0.0008434877,362
-0.0001662746,-0.00025726482,363
0.00036935508,0.0013598297,364
0.0001693964,0.0018206965,365
-0.00054521114,0.0014115255,366
-0.00025379658,0.00026884302,367
-0.0021337196,-0.00067744777,368
-0.002887912,-0.0008368157,369
-0.0021506697,-0.0010255482,370
0.0010704622,-0.0030740704,371
0.00028335303,-0.0020016376,372
0.0004363656,-0.0015315358,373
0.0011963844,-0.0009741392,374
0.0002459064,-0.0011196677,375
0.00051033497,-0.0013121627,376
0.002569653,-0.0008089151,377
0.0023758188,0.0008368734,378
0.0010390654,-7.1223825e-05,379
0.0014753416,-0.00010082126,380
0.0025356784,0.0009106528,381
0.0015342906,0.0020391382,382
0.0006972477,0.0015801564,383
0.001973927,9.0250745e-05,384
-4.8205256e-06,-0.00043394975,385
0.00039052218,0.0010707118,386
0.00049743056,0.0019699857,387
-0.00062861294,0.0014429707,388
-0.0002669394,0.0008801799,389
-0.0015560612,-0.00039537996,390
-0.0031589195,-0.0007003248,391
-0.002615951,-0.00090131536,392
0.0006796792,-0.0029055774,393
0.0003081411,-0.0026352573,394
0.00034566224,-0.0015949737,395
0.001086399,-0.0008554999,396
0.00043985248,-0.000671342,397
0.00071300566,-0.0010912586,398
0.0023050383,-0.0010261443,399
0.0026481524,0.0003140308,400
0.0013027787,0.00020721182,401
