xseq_norm,xkoop_norm,time
0.07565258,0.86331844,84.0
0.065456994,0.8703089,84.25
0.11345253,0.8976821,84.5
0.12866366,0.93431354,84.75
0.09619074,0.96829486,85.0
0.08133424,0.99045414,85.25
0.063563205,0.996629,85.5
0.03823836,0.9841842,85.75
0.0922854,0.95535433,86.0
0.076461636,0.9197505,86.25
0.068361,0.8877433,86.5
0.04614858,0.87208724,86.75
0.14606902,0.87669337,87.0
0.14067118,0.9007645,87.25
0.11648638,0.9367124,87.5
0.15055808,0.9706916,87.75
0.06324189,0.9926544,88.0
0.061655924,0.9990279,88.25
0.062091913,0.9860378,88.5
0.06447068,0.95708764,88.75
0.10082809,0.920526,89.0
0.13492502,0.8862464,89.25
0.11131394,0.86521995,89.5
0.06290173,0.86572635,89.75
0.09267324,0.8888924,90.0
0.12479316,0.9244277,90.25
0.108003825,0.96033084,90.5
0.07545908,0.9860254,90.75
0.11533897,0.9962846,91.0
0.013986065,0.9895831,91.25
0.08113106,0.9637167,91.5
0.07801025,0.9286425,91.75
0.07282355,0.8946043,92.0
0.021266842,0.87404406,92.25
0.12977575,0.87356836,92.5
0.1408982,0.89309675,92.75
0.10768487,0.92717165,93.0
0.15848629,0.96331,93.25
0.06881782,0.9884499,93.5
0.0726138,0.9994477,93.75
0.07328973,0.99107724,94.0
0.060691644,0.9652052,94.25
0.082158856,0.9298607,94.5
0.13578488,0.89429396,94.75
0.12192044,0.8689068,95.0
0.057730347,0.8633621,95.25
0.07870734,0.881763,95.5
0.12704065,0.9154286,95.75
0.12203444,0.9525387,96.0
0.07660198,0.9813297,96.25
0.13638617,0.99557424,96.5
0.019791221,0.99395645,96.75
0.06688869,0.97124296,97.0
0.09321971,0.9374273,97.25
0.07510461,0.9025737,97.5
0.02310395,0.8775438,97.75
0.10399769,0.8719941,98.0
0.15030596,0.88684446,98.25
0.12187138,0.9184104,98.5
0.15987785,0.95612353,98.75
0.10687465,0.9841854,99.0
0.08026349,0.9990051,99.25
0.07634699,0.99537456,99.5
0.054851525,0.9731891,99.75
0.06843131,0.93970525,100.0
0.1310087,0.9033428,100.25
0.124168165,0.874202,100.5
0.048836973,0.86338466,100.75
0.07031619,0.8767465,101.0
0.13344403,0.90780026,101.25
0.12552083,0.9452359,101.5
0.08742815,0.9769287,101.75
0.0934486,0.994879,102.0
0.02332139,0.9966463,102.25
0.053112373,0.97848535,102.5
0.09846973,0.9466993,102.75
0.07728323,0.9112069,103.0
0.04960722,0.88240033,103.25
0.07199965,0.87195474,103.5
0.15702859,0.8821561,103.75
0.13692522,0.9105441,104.0
0.14101957,0.9478894,104.25
0.13444732,0.9789713,104.5
0.07943216,0.99733543,104.75
0.06560013,0.99842834,105.0
0.04417996,0.98053044,105.25
0.062730186,0.9489572,105.5
0.120595455,0.9118967,105.75
0.13140696,0.8797476,106.0
0.07274984,0.863805,106.25
0.06570497,0.8712134,106.5
0.11491801,0.898848,106.75
0.12959686,0.93557453,107.0
0.096459106,0.9694652,107.25
0.08300127,0.9914062,107.5
0.06031217,0.9973258,107.75
0.03959114,0.9845052,108.0
0.09353704,0.9554465,108.25
0.0774905,0.9197958,108.5
0.068805225,0.88793725,108.75
0.049362365,0.8726055,109.0
0.14834873,0.8775375,109.25
0.1417612,0.9018958,109.5
0.11918966,0.9379451,109.75
0.15100697,0.9717498,110.0
0.0654271,0.99347824,110.25
0.061786357,0.99949193,110.5
0.062213846,0.9861815,110.75
0.065331824,0.9570119,111.0
0.10327005,0.9203574,111.25
0.13586359,0.8861582,111.5
0.11135904,0.8654321,111.75
0.06307815,0.86636466,112.0
0.09399157,0.88986176,112.25
0.12597284,0.9255129,112.5
0.10804323,0.9613186,112.75
0.07662786,0.98679006,113.0
0.11161446,0.9967675,113.25
0.016269455,0.9896399,113.5
0.08276763,0.96353245,113.75
0.077930644,0.9283803,114.0
0.073295996,0.8944131,114.25
0.023624232,0.8741938,114.5
0.13232791,0.8740702,114.75
0.14133698,0.8939282,115.0
0.108746804,0.92815316,115.25
0.15927078,0.96414304,115.5
0.066945404,0.9890398,115.75
0.07305666,0.99973154,116.0
0.073503375,0.99099153,116.25
0.061326705,0.9648425,116.5
0.08424839,0.9293666,116.75
0.13686718,0.893849,117.0
0.12251823,0.86875236,117.25
0.058443345,0.8636008,117.5
0.079511896,0.88237023,117.75
0.12732652,0.91620964,118.0
0.121472806,0.95326334,118.25
0.07674756,0.98184675,118.5
0.14076915,0.99580157,118.75
0.017254565,0.9939392,119.0
0.0682927,0.9709711,119.25
0.09232942,0.93701595,119.5
0.075232655,0.9021983,119.75
0.021570057,0.8774795,120.0
0.106712155,0.87231046,120.25
0.14959405,0.8875149,120.5
0.12051753,0.9192964,120.75
0.16052824,0.9569096,121.0
0.105160676,0.9847531,121.25
0.080555096,0.99927485,121.5
0.07714654,0.9952672,121.75
0.05586771,0.97275776,122.0
